,Open,High,Low,Close,Volume,Dividends,Stock Splits,snp_Open,snp_High,snp_Low,snp_Close,snp_Volume,snp_Dividends,snp_Stock Splits,Capital Gains
2023-05-04,25624.594,26071.143,25212.959,25629.215,124550970000.0,0.34644154,0.34643444,46.451134,46.451397,46.451202,46.451355,0.34644312,0.36028996,0.34641334,0.030832753
2023-05-05,31066.99,31616.477,30556.697,31073.223,153946420000.0,0.43129212,0.4312873,49.79956,49.799175,49.798977,49.799133,0.43129367,0.4485369,0.4312706,0.03838379
2023-05-06,33155.89,33744.887,32608.135,33162.74,165232510000.0,0.4638697,0.4638825,51.08575,51.084114,51.083916,51.084076,0.46387127,0.48243594,0.46386582,0.04128351
2023-05-07,35659.31,36295.652,35066.24,35666.895,178757580000.0,0.50291014,0.50293565,52.625954,52.624043,52.62384,52.624,0.5029117,0.5230512,0.5028982,0.044757903
2023-05-08,35501.793,36135.16,34911.49,35509.336,177903420000.0,0.50044453,0.5004586,52.52894,52.527153,52.526955,52.527107,0.5004461,0.5204751,0.50043964,0.044538353
2023-05-09,35508.492,36141.984,34918.066,35516.035,177940960000.0,0.5005529,0.5005709,52.53305,52.531273,52.53107,52.53123,0.50055444,0.52059186,0.50054383,0.044547997
2023-05-10,33687.312,34286.36,33129.746,33694.316,168101990000.0,0.47215247,0.47216022,51.412224,51.41101,51.410812,51.41097,0.47215405,0.49104476,0.4721393,0.04202036
2023-05-11,32461.787,33037.656,31926.33,32468.428,161483830000.0,0.45304903,0.4530579,50.65796,50.657154,50.65695,50.657112,0.4530506,0.47117832,0.45302448,0.040320154
2023-05-12,32450.5,33026.156,31915.246,32457.139,161422570000.0,0.45287222,0.4528802,50.651012,50.65021,50.65001,50.65017,0.4528738,0.47099355,0.4528485,0.04030442
2023-05-13,32580.873,33158.992,32043.266,32587.553,162128180000.0,0.45490897,0.4549213,50.731243,50.730404,50.73021,50.73037,0.45491052,0.47311628,0.4548816,0.040485688
